State,City Tier,Brand,Year of Manufacture,Owner Type,Seller Type,Fuel Type,Insurance Status,Price (INR),Registration Year,Avg Daily Distance (km),Engine Capacity (cc),Mileage (km/l),Efficiency score,Daily fuel consumption,Resale Price (INR),Resale score,Model,Depreciation
Karnataka,Tier 1,Honda,2024,Third,Individual,Electric,Not Available,"3,67,389.00 ",2024,28,391,70.02,0.18,0.4,"2,25,091.48 ",367389,Unicorn,142297.52
Maharashtra,Tier 1,Bajaj,2024,Third,Dealer,Electric,Not Available,"2,14,957.00 ",2024,66.67,468,62.73,0.13,1.06,"1,68,102.67 ",214957,CT 100,46854.33
Karnataka,Tier 1,Royal Enfield,2024,Third,Individual,Electric,Active,"3,31,490.00 ",2024,70.85,255,70.03,0.27,1.01,"1,96,978.25 ",331490,Meteor 350,134511.75
West Bengal,Tier 1,Bajaj,2024,Third,Individual,Electric,Not Available,"2,60,387.00 ",2024,48.65,113,95.94,0.85,0.51,"2,05,280.82 ",260387,Pulsar 150,55106.18
Karnataka,Tier 1,Royal Enfield,2024,Third,Dealer,Electric,Active,"3,47,115.00 ",2024,38.47,330,90.16,0.27,0.43,"2,09,420.64 ",347115,Interceptor 650,137694.36
Tamil Nadu,Tier 1,Bajaj,2024,Third,Individual,Electric,Expired,"1,89,087.00 ",2024,52.14,628,90.33,0.14,0.58,"1,47,429.82 ",189087,Dominar 400,41657.18
Rajasthan,Tier 1,KTM,2024,Third,Dealer,Electric,Not Available,"3,20,230.00 ",2024,64.04,131,78.33,0.6,0.82,"2,18,714.20 ",320230,125 Duke,101515.8
Delhi,Tier 1,Royal Enfield,2024,Third,Individual,Electric,Active,"2,38,406.00 ",2024,6.93,490,65.27,0.13,0.11,"1,48,924.98 ",238406,Interceptor 650,89481.02
Tamil Nadu,Tier 1,Honda,2024,Third,Individual,Electric,Not Available,"3,41,458.00 ",2024,36.47,132,76.02,0.58,0.48,"2,12,331.78 ",341458,Unicorn,129126.22
Delhi,Tier 1,Honda,2024,Third,Dealer,Electric,Expired,"3,75,703.00 ",2024,61.55,607,81.25,0.13,0.76,"1,98,704.47 ",375703,Shine,176998.53
Rajasthan,Tier 1,Bajaj,2024,Third,Dealer,Electric,Active,"52,516.00 ",2024,29.51,241,88.71,0.37,0.33,"23,126.65 ",52516,Dominar 400,29389.35
Maharashtra,Tier 1,KTM,2024,Third,Individual,Electric,Active,"2,57,190.00 ",2024,47.05,310,91.37,0.29,0.51,"1,65,949.48 ",257190,RC 390,91240.52
Gujarat,Tier 1,Bajaj,2024,Third,Dealer,Electric,Not Available,"2,24,647.00 ",2024,57.51,727,71.38,0.1,0.81,"1,17,623.03 ",224647,CT 100,107023.97
Punjab,Tier 1,KTM,2024,Third,Individual,Electric,Not Available,"3,09,863.00 ",2024,57.4,524,80.94,0.15,0.71,"2,08,735.94 ",309863,Duke 200,101127.06
Uttar Pradesh,Tier 1,Royal Enfield,2024,Third,Individual,Electric,Not Available,"1,68,146.00 ",2024,28.41,558,63.5,0.11,0.45,"99,308.26 ",168146,Himalayan,68837.74
Karnataka,Tier 1,Honda,2024,Third,Dealer,Electric,Expired,"1,16,266.00 ",2024,69.08,634,63.57,0.1,1.09,"71,810.88 ",116266,Activa,44455.12
Rajasthan,Tier 1,Yamaha,2024,Third,Dealer,Electric,Expired,"2,79,231.00 ",2024,14.88,547,98.53,0.18,0.15,"1,20,107.78 ",279231,FZ V3,159123.22
Karnataka,Tier 1,Royal Enfield,2024,Third,Dealer,Electric,Not Available,"1,65,867.00 ",2024,56.07,802,65.24,0.08,0.86,"88,111.94 ",165867,Hunter 350,77755.06
West Bengal,Tier 1,Royal Enfield,2024,Third,Dealer,Electric,Active,"1,88,892.00 ",2024,75.14,559,60.51,0.11,1.24,"1,25,203.91 ",188892,Interceptor 650,63688.09
Rajasthan,Tier 1,KTM,2024,Third,Dealer,Electric,Active,"3,66,519.00 ",2024,41.96,552,91.51,0.17,0.46,"1,49,230.83 ",366519,390 Adventure,217288.17
Madhya Pradesh,Tier 1,TVS,2024,Third,Dealer,Electric,Expired,"2,17,978.00 ",2024,59.41,177,90.75,0.51,0.65,"1,16,122.67 ",217978,Apache RTR 160,101855.33
Punjab,Tier 1,Honda,2024,Third,Dealer,Electric,Expired,"1,16,257.00 ",2024,50.29,135,77.91,0.58,0.65,"73,210.17 ",116257,Unicorn,43046.83
Punjab,Tier 1,KTM,2024,Third,Dealer,Electric,Not Available,"2,24,792.00 ",2024,42.04,173,62.78,0.36,0.67,"1,50,367.86 ",224792,250 Duke,74424.14
Punjab,Tier 1,Royal Enfield,2024,Third,Dealer,Electric,Not Available,"1,04,107.00 ",2024,28.96,991,70.23,0.07,0.41,"66,203.62 ",104107,Hunter 350,37903.38
Tamil Nadu,Tier 1,Yamaha,2024,Third,Dealer,Electric,Expired,"1,22,080.00 ",2024,56.77,388,85.68,0.22,0.66,"75,731.54 ",122080,MT-15,46348.46
Gujarat,Tier 1,KTM,2024,Third,Dealer,Electric,Active,"70,494.00 ",2024,51.4,302,93.82,0.31,0.55,"36,148.05 ",70494,RC 390,34345.95
Karnataka,Tier 1,Honda,2024,Third,Dealer,Electric,Active,"1,07,848.00 ",2024,78.09,180,93.93,0.52,0.83,"53,987.28 ",107848,Shine,53860.72
Karnataka,Tier 1,Hero,2024,Third,Individual,Electric,Active,"2,47,072.00 ",2024,8.35,865,68.56,0.08,0.12,"1,33,579.37 ",247072,Glamour,113492.63
West Bengal,Tier 1,Honda,2024,Third,Dealer,Electric,Expired,"1,01,523.00 ",2024,26.94,573,73.67,0.13,0.37,"55,579.95 ",101523,Dio,45943.05
Punjab,Tier 1,Hero,2024,Third,Individual,Electric,Active,"2,03,977.00 ",2024,76.28,847,82.31,0.1,0.93,"1,12,270.94 ",203977,Glamour,91706.06
Gujarat,Tier 1,KTM,2024,Third,Dealer,Electric,Not Available,"1,77,760.00 ",2024,52.81,935,66.61,0.07,0.79,"90,458.36 ",177760,Duke 200,87301.64
Rajasthan,Tier 1,KTM,2024,Third,Individual,Electric,Expired,"2,69,817.00 ",2024,71.93,967,84.32,0.09,0.85,"1,86,809.41 ",269817,390 Adventure,83007.59
Maharashtra,Tier 1,Hero,2024,Third,Individual,Electric,Expired,"3,47,347.00 ",2024,19.45,623,92.94,0.15,0.21,"2,40,261.05 ",347347,Glamour,107085.95
West Bengal,Tier 1,Royal Enfield,2024,Third,Individual,Electric,Not Available,"1,85,248.00 ",2024,6.49,211,92.15,0.44,0.07,"1,13,504.82 ",185248,Interceptor 650,71743.18
Uttar Pradesh,Tier 1,Bajaj,2024,Third,Dealer,Electric,Active,"3,59,392.00 ",2024,66.65,389,60.97,0.16,1.09,"2,64,863.50 ",359392,Platina 110,94528.5
West Bengal,Tier 1,KTM,2024,Third,Individual,Electric,Not Available,"2,12,990.00 ",2024,34.15,666,91.46,0.14,0.37,"96,934.16 ",212990,390 Adventure,116055.84
Madhya Pradesh,Tier 1,Kawasaki,2024,Third,Dealer,Electric,Active,"1,64,010.00 ",2024,51.59,400,95.5,0.24,0.54,"1,15,900.17 ",164010,Versys 650,48109.83
Maharashtra,Tier 1,Royal Enfield,2024,Third,Dealer,Electric,Expired,"3,24,000.00 ",2024,42.1,858,77.69,0.09,0.54,"1,94,954.41 ",324000,Interceptor 650,129045.59
Maharashtra,Tier 1,Hero,2024,Third,Individual,Electric,Active,"1,90,675.00 ",2024,63.18,311,70.18,0.23,0.9,"1,01,944.04 ",190675,Splendor Plus,88730.96
Delhi,Tier 1,Hero,2024,Third,Dealer,Electric,Active,"2,29,546.00 ",2024,48.83,925,83.07,0.09,0.59,"1,67,535.93 ",229546,Xtreme 160R,62010.07
Rajasthan,Tier 1,Kawasaki,2024,Third,Individual,Electric,Expired,"3,80,430.00 ",2024,30.61,537,97.49,0.18,0.31,"2,35,653.52 ",380430,Z650,144776.48
Maharashtra,Tier 1,Bajaj,2024,Third,Dealer,Electric,Active,"2,45,266.00 ",2024,41.11,778,93.76,0.12,0.44,"1,33,061.81 ",245266,CT 100,112204.19
Punjab,Tier 1,Yamaha,2024,Third,Dealer,Electric,Expired,"2,07,569.00 ",2024,70.89,127,72.95,0.57,0.97,"1,11,078.46 ",207569,Ray ZR,96490.54
Karnataka,Tier 1,TVS,2024,Third,Individual,Electric,Active,"3,86,768.00 ",2024,32.22,768,84.5,0.11,0.38,"2,23,722.83 ",386768,Ronin,163045.17
Karnataka,Tier 1,Hero,2024,Third,Dealer,Electric,Expired,"2,45,211.00 ",2024,65.56,228,65.93,0.29,0.99,"1,44,955.31 ",245211,Passion Pro,100255.69
Rajasthan,Tier 1,Kawasaki,2024,Third,Dealer,Electric,Expired,"1,97,257.00 ",2024,5.48,826,64.32,0.08,0.09,"99,119.68 ",197257,Ninja 300,98137.32
Madhya Pradesh,Tier 1,Hero,2024,Third,Dealer,Electric,Not Available,"3,10,995.00 ",2024,27.09,218,76.49,0.35,0.35,"2,00,935.39 ",310995,Splendor Plus,110059.61
Karnataka,Tier 1,Kawasaki,2024,Third,Dealer,Electric,Expired,"1,83,579.00 ",2024,28.99,591,97.93,0.17,0.3,"1,17,714.53 ",183579,Ninja 400,65864.47
Punjab,Tier 1,Kawasaki,2024,Third,Dealer,Electric,Not Available,"3,32,272.00 ",2024,42.93,508,92.08,0.18,0.47,"1,98,975.81 ",332272,Z650,133296.19
Punjab,Tier 1,Royal Enfield,2024,Third,Individual,Electric,Active,"3,02,929.00 ",2024,65.18,891,99.63,0.11,0.65,"1,22,432.50 ",302929,Hunter 350,180496.5
Maharashtra,Tier 1,Kawasaki,2024,Third,Dealer,Electric,Active,"1,66,759.00 ",2024,62.83,930,72.91,0.08,0.86,"1,04,003.53 ",166759,Z650,62755.47
Tamil Nadu,Tier 1,KTM,2024,Third,Dealer,Electric,Expired,"2,47,982.00 ",2024,49.41,558,72.01,0.13,0.69,"1,95,543.29 ",247982,Duke 200,52438.71
Gujarat,Tier 1,Kawasaki,2024,Third,Individual,Electric,Expired,"3,09,034.00 ",2024,56.07,823,100,0.12,0.56,"1,27,140.22 ",309034,Vulcan S,181893.78
Gujarat,Tier 1,KTM,2024,Third,Dealer,Electric,Expired,"3,84,055.00 ",2024,60,106,72.15,0.68,0.83,"2,73,880.31 ",384055,250 Duke,110174.69
Gujarat,Tier 1,Hero,2024,Third,Dealer,Electric,Not Available,"95,040.00 ",2024,67.72,297,88.03,0.3,0.77,"62,025.20 ",95040,Passion Pro,33014.8
Madhya Pradesh,Tier 1,Hero,2024,First,Individual,Electric,Not Available,"1,65,864.00 ",2024,39.71,774,86.22,0.11,0.46,"1,18,831.51 ",165864,Xtreme 160R,47032.49
Madhya Pradesh,Tier 1,Bajaj,2024,First,Individual,Electric,Not Available,"1,75,588.00 ",2024,57.92,960,64.6,0.07,0.9,"1,33,931.85 ",175588,CT 100,41656.15
Delhi,Tier 1,Hero,2024,First,Dealer,Electric,Not Available,"1,59,907.00 ",2024,20.87,967,83.01,0.09,0.25,"84,072.18 ",159907,Xtreme 160R,75834.82
Gujarat,Tier 1,TVS,2024,First,Dealer,Electric,Not Available,"2,18,954.00 ",2024,68.27,116,72.41,0.62,0.94,"1,14,251.53 ",218954,Ronin,104702.47
Maharashtra,Tier 1,Royal Enfield,2024,First,Individual,Electric,Expired,"1,33,932.00 ",2024,57.9,816,64.35,0.08,0.9,"55,506.03 ",133932,Interceptor 650,78425.97
Tamil Nadu,Tier 1,Yamaha,2024,Second,Individual,Electric,Active,"70,255.00 ",2024,62.55,715,98.93,0.14,0.63,"34,630.62 ",70255,MT-15,35624.38
Rajasthan,Tier 1,TVS,2024,Second,Dealer,Electric,Expired,"1,66,875.00 ",2024,50.04,283,86.54,0.31,0.58,"1,29,970.02 ",166875,NTorq 125,36904.98
Punjab,Tier 1,Honda,2024,First,Individual,Electric,Active,"3,19,364.00 ",2024,59.87,909,76.38,0.08,0.78,"1,44,546.16 ",319364,Unicorn,174817.84
Delhi,Tier 1,Kawasaki,2024,Second,Individual,Electric,Active,"3,73,159.00 ",2024,37.01,960,70.58,0.07,0.52,"2,72,530.16 ",373159,Ninja 300,100628.84
Uttar Pradesh,Tier 1,Kawasaki,2024,Second,Individual,Electric,Active,"2,71,711.00 ",2024,71.64,254,74.09,0.29,0.97,"1,67,472.48 ",271711,Z650,104238.52
Punjab,Tier 1,KTM,2024,First,Dealer,Electric,Expired,"2,67,039.00 ",2024,65.32,480,60.06,0.13,1.09,"1,91,387.00 ",267039,125 Duke,75652
West Bengal,Tier 1,Kawasaki,2024,First,Individual,Electric,Not Available,"1,16,945.00 ",2024,50.92,982,93.82,0.1,0.54,"55,535.09 ",116945,Ninja 400,61409.91
Maharashtra,Tier 1,TVS,2024,First,Individual,Electric,Expired,"1,19,456.00 ",2024,35.21,837,91.4,0.11,0.39,"84,926.28 ",119456,Sport,34529.72
Tamil Nadu,Tier 1,Honda,2024,Second,Dealer,Electric,Expired,"3,47,769.00 ",2024,69.84,820,87.92,0.11,0.79,"1,63,620.12 ",347769,Unicorn,184148.88
Maharashtra,Tier 1,KTM,2024,First,Individual,Electric,Active,"1,00,352.00 ",2024,51.3,348,67.07,0.19,0.76,"57,912.21 ",100352,RC 390,42439.79
Rajasthan,Tier 1,Hero,2024,Second,Individual,Electric,Expired,"3,64,100.00 ",2024,42.55,151,74.29,0.49,0.57,"1,75,311.35 ",364100,Glamour,188788.65
Gujarat,Tier 1,Kawasaki,2024,Second,Individual,Electric,Not Available,"2,37,624.00 ",2024,32.97,395,84.65,0.21,0.39,"1,47,198.41 ",237624,Z650,90425.59
Uttar Pradesh,Tier 1,Bajaj,2024,First,Dealer,Electric,Active,"2,68,746.00 ",2024,57.92,401,66.6,0.17,0.87,"1,09,998.46 ",268746,CT 100,158747.54
Tamil Nadu,Tier 1,Royal Enfield,2024,Second,Individual,Electric,Not Available,"1,92,613.00 ",2024,56.64,612,85.1,0.14,0.67,"92,340.95 ",192613,Interceptor 650,100272.05
West Bengal,Tier 1,Bajaj,2024,First,Dealer,Electric,Expired,"2,84,594.00 ",2024,60.83,711,63.9,0.09,0.95,"2,21,537.82 ",284594,Avenger 220,63056.18
Maharashtra,Tier 1,Hero,2024,First,Dealer,Electric,Expired,"2,95,592.00 ",2024,44.27,897,92.04,0.1,0.48,"1,85,852.07 ",295592,Xtreme 160R,109739.93
Punjab,Tier 1,Bajaj,2024,First,Dealer,Electric,Active,"3,19,161.00 ",2024,20.3,341,73.56,0.22,0.28,"1,33,429.07 ",319161,Pulsar 150,185731.93
Rajasthan,Tier 1,Kawasaki,2024,Second,Individual,Electric,Not Available,"3,26,696.00 ",2024,57.58,917,95,0.1,0.61,"2,19,695.80 ",326696,Ninja 300,107000.2
Delhi,Tier 1,Yamaha,2024,First,Dealer,Electric,Active,"1,76,957.00 ",2024,28.3,878,76.85,0.09,0.37,"1,40,616.72 ",176957,Ray ZR,36340.28
West Bengal,Tier 1,TVS,2024,First,Dealer,Electric,Not Available,"2,56,609.00 ",2024,43.65,733,60.4,0.08,0.72,"1,20,648.01 ",256609,Ronin,135960.99
Rajasthan,Tier 1,TVS,2024,First,Dealer,Electric,Not Available,"1,18,604.00 ",2024,33.89,218,97.41,0.45,0.35,"87,647.33 ",118604,Ronin,30956.67
Karnataka,Tier 1,Royal Enfield,2024,Second,Dealer,Electric,Not Available,"2,38,208.00 ",2024,78.3,725,63.72,0.09,1.23,"1,47,401.27 ",238208,Meteor 350,90806.73
Delhi,Tier 1,Bajaj,2024,First,Individual,Electric,Active,"3,01,065.00 ",2024,27.9,374,75.32,0.2,0.37,"1,77,318.59 ",301065,Avenger 220,123746.41
Madhya Pradesh,Tier 1,Bajaj,2024,First,Dealer,Electric,Expired,"2,75,461.00 ",2024,76.24,455,70.88,0.16,1.08,"1,47,274.83 ",275461,Platina 110,128186.17
Uttar Pradesh,Tier 1,Hero,2024,First,Dealer,Electric,Expired,"3,86,075.00 ",2024,75.68,510,89.73,0.18,0.84,"2,76,704.36 ",386075,HF Deluxe,109370.64
Rajasthan,Tier 1,Yamaha,2024,Second,Individual,Electric,Not Available,"3,65,427.00 ",2024,63.67,888,86.68,0.1,0.73,"2,79,626.41 ",365427,Fascino 125,85800.59
Uttar Pradesh,Tier 1,Bajaj,2024,Second,Individual,Electric,Active,"2,01,485.00 ",2024,36.57,291,92.77,0.32,0.39,"1,37,698.55 ",201485,Pulsar 150,63786.45
Gujarat,Tier 1,Bajaj,2024,First,Dealer,Electric,Not Available,"60,482.00 ",2024,37.41,870,94.41,0.11,0.4,"26,923.11 ",60482,CT 100,33558.89
Rajasthan,Tier 1,KTM,2024,First,Individual,Electric,Active,"3,73,112.00 ",2024,38.39,578,66.17,0.11,0.58,"1,74,085.02 ",373112,125 Duke,199026.98
Maharashtra,Tier 1,Hero,2024,First,Dealer,Electric,Expired,"3,16,005.00 ",2024,51.05,887,91.04,0.1,0.56,"1,90,040.18 ",316005,Passion Pro,125964.82
Rajasthan,Tier 1,TVS,2024,Second,Dealer,Electric,Expired,"2,49,268.00 ",2024,38.67,271,99.93,0.37,0.39,"1,65,610.57 ",249268,NTorq 125,83657.43
Gujarat,Tier 1,Royal Enfield,2024,Second,Dealer,Electric,Expired,"1,83,695.00 ",2024,5.66,903,69.72,0.08,0.08,"81,221.81 ",183695,Meteor 350,102473.19
Rajasthan,Tier 1,Hero,2024,Second,Dealer,Electric,Active,"57,062.00 ",2024,17.54,365,79.77,0.22,0.22,"24,058.31 ",57062,Xtreme 160R,33003.69
Karnataka,Tier 1,Bajaj,2024,Second,Dealer,Electric,Not Available,"2,40,191.00 ",2024,48.31,377,90.19,0.24,0.54,"1,00,011.62 ",240191,Avenger 220,140179.38
Maharashtra,Tier 1,Yamaha,2024,Second,Dealer,Electric,Expired,"1,48,939.00 ",2024,61.34,897,68.87,0.08,0.89,"95,866.88 ",148939,MT-15,53072.12
West Bengal,Tier 1,Royal Enfield,2024,First,Dealer,Electric,Not Available,"3,57,858.00 ",2024,31.73,496,71.78,0.14,0.44,"1,70,546.85 ",357858,Himalayan,187311.15
Delhi,Tier 1,Royal Enfield,2024,Second,Dealer,Electric,Expired,"2,44,373.00 ",2024,62.55,728,97.34,0.13,0.64,"1,16,018.52 ",244373,Hunter 350,128354.48
Maharashtra,Tier 1,Yamaha,2024,Second,Dealer,Electric,Expired,"3,66,452.00 ",2024,34.17,258,62.29,0.24,0.55,"2,84,051.65 ",366452,FZ V3,82400.35
Madhya Pradesh,Tier 1,Royal Enfield,2024,First,Dealer,Electric,Active,"3,73,772.00 ",2024,19.09,472,69.94,0.15,0.27,"1,70,774.36 ",373772,Himalayan,202997.64
West Bengal,Tier 1,Bajaj,2024,Second,Individual,Electric,Expired,"2,27,759.00 ",2024,51.15,384,89.78,0.23,0.57,"1,03,003.82 ",227759,Platina 110,124755.18
Madhya Pradesh,Tier 1,Yamaha,2024,Second,Dealer,Electric,Expired,"1,77,150.00 ",2024,75.7,953,89.6,0.09,0.84,"1,37,990.34 ",177150,FZ V3,39159.66
Uttar Pradesh,Tier 1,Yamaha,2024,First,Individual,Electric,Not Available,"3,08,241.00 ",2024,35,241,81.9,0.34,0.43,"2,16,549.04 ",308241,Ray ZR,91691.96
Tamil Nadu,Tier 1,Honda,2024,Second,Dealer,Electric,Not Available,"3,88,477.00 ",2024,46.82,946,75.4,0.08,0.62,"2,81,792.69 ",388477,CBR 650R,106684.31
Rajasthan,Tier 1,KTM,2024,First,Dealer,Electric,Active,"3,94,778.00 ",2024,74.21,239,84.49,0.35,0.88,"1,97,201.62 ",394778,RC 390,197576.38
West Bengal,Tier 1,Kawasaki,2024,Second,Individual,Electric,Expired,"1,15,000.00 ",2024,38.73,899,99.07,0.11,0.39,"80,373.93 ",115000,Ninja 400,34626.07
Tamil Nadu,Tier 1,Honda,2024,Second,Dealer,Electric,Not Available,"3,57,669.00 ",2024,50.74,494,82.05,0.17,0.62,"2,81,826.69 ",357669,Shine,75842.31
Uttar Pradesh,Tier 1,Kawasaki,2024,Second,Dealer,Electric,Expired,"85,992.00 ",2024,13.15,182,64.26,0.35,0.2,"45,874.55 ",85992,Ninja 300,40117.45
Uttar Pradesh,Tier 1,Honda,2024,Second,Individual,Electric,Expired,"1,38,267.00 ",2024,46.13,689,60.22,0.09,0.77,"69,113.09 ",138267,Activa,69153.91
Madhya Pradesh,Tier 1,Kawasaki,2024,Second,Individual,Electric,Active,"3,01,779.00 ",2024,36.31,884,86.21,0.1,0.42,"1,95,775.29 ",301779,Z650,106003.71
Delhi,Tier 1,Royal Enfield,2024,Second,Dealer,Electric,Active,"1,60,300.00 ",2024,6.11,878,85.99,0.1,0.07,"96,547.34 ",160300,Classic 350,63752.66
Delhi,Tier 1,Royal Enfield,2024,First,Dealer,Electric,Active,"1,85,707.00 ",2024,58.93,591,94.03,0.16,0.63,"1,08,217.14 ",185707,Interceptor 650,77489.86
Rajasthan,Tier 1,Bajaj,2024,First,Dealer,Electric,Expired,"1,68,147.00 ",2024,18.76,666,80.09,0.12,0.23,"88,410.44 ",168147,Pulsar 150,79736.56
Punjab,Tier 1,KTM,2024,First,Individual,Electric,Active,"2,79,073.00 ",2024,24.29,810,80.13,0.1,0.3,"1,50,561.61 ",279073,Duke 200,128511.39
Tamil Nadu,Tier 1,Royal Enfield,2024,First,Dealer,Electric,Expired,"3,70,226.00 ",2024,77.17,656,87.68,0.13,0.88,"1,55,187.80 ",370226,Hunter 350,215038.2
Gujarat,Tier 1,TVS,2024,Second,Dealer,Electric,Expired,"3,34,621.00 ",2024,63.07,749,72.64,0.1,0.87,"1,61,810.26 ",334621,Apache RTR 160,172810.74
West Bengal,Tier 1,Bajaj,2024,First,Individual,Electric,Not Available,"2,90,276.00 ",2024,49.22,667,86.58,0.13,0.57,"2,13,084.78 ",290276,Platina 110,77191.22
Rajasthan,Tier 1,Bajaj,2024,Second,Individual,Electric,Active,"1,30,318.00 ",2024,23.25,545,73.37,0.13,0.32,"1,02,150.53 ",130318,Avenger 220,28167.47
Punjab,Tier 1,Honda,2024,First,Dealer,Electric,Not Available,"95,985.00 ",2024,26.18,923,61.83,0.07,0.42,"75,134.38 ",95985,Dio,20850.62
Madhya Pradesh,Tier 1,KTM,2024,Second,Individual,Electric,Expired,"1,02,836.00 ",2024,27.48,394,89.56,0.23,0.31,"74,732.84 ",102836,Duke 200,28103.16
Rajasthan,Tier 1,TVS,2024,Second,Individual,Electric,Expired,"2,42,782.00 ",2024,48.41,114,85.4,0.75,0.57,"1,60,657.65 ",242782,Apache RTR 160,82124.35
Tamil Nadu,Tier 1,Yamaha,2024,Second,Dealer,Electric,Not Available,"3,22,962.00 ",2024,76.38,825,69.67,0.08,1.1,"2,48,477.61 ",322962,R15 V4,74484.39
Maharashtra,Tier 1,KTM,2024,Second,Dealer,Electric,Active,"89,182.00 ",2024,66.78,882,66.61,0.08,1,"67,505.41 ",89182,250 Duke,21676.59
West Bengal,Tier 1,Royal Enfield,2024,Second,Individual,Electric,Expired,"2,25,506.00 ",2024,47.44,210,74.55,0.36,0.64,"1,22,255.24 ",225506,Hunter 350,103250.76
Madhya Pradesh,Tier 1,Royal Enfield,2024,Second,Dealer,Electric,Active,"89,572.00 ",2024,44.81,908,94.13,0.1,0.48,"68,448.66 ",89572,Meteor 350,21123.34
Maharashtra,Tier 1,KTM,2024,First,Individual,Electric,Expired,"1,98,063.00 ",2024,50.06,741,77.44,0.1,0.65,"1,05,793.81 ",198063,125 Duke,92269.19
Madhya Pradesh,Tier 1,Bajaj,2024,Second,Dealer,Electric,Active,"2,25,943.00 ",2024,51.6,105,75.38,0.72,0.68,"1,29,464.34 ",225943,Platina 110,96478.66
Karnataka,Tier 1,Honda,2024,Second,Dealer,Electric,Not Available,"2,70,700.00 ",2024,31.6,653,85.54,0.13,0.37,"2,16,438.31 ",270700,Shine,54261.69
West Bengal,Tier 1,Bajaj,2024,First,Dealer,Electric,Expired,"2,86,978.00 ",2024,19.56,231,73.16,0.32,0.27,"1,19,083.65 ",286978,CT 100,167894.35
Rajasthan,Tier 1,Kawasaki,2024,Second,Dealer,Electric,Expired,"3,04,953.00 ",2024,51.81,978,75.9,0.08,0.68,"2,30,969.60 ",304953,Vulcan S,73983.4
Delhi,Tier 1,Kawasaki,2024,Second,Dealer,Electric,Active,"2,52,106.00 ",2024,7.52,189,70.52,0.37,0.11,"1,65,051.89 ",252106,Vulcan S,87054.11
Uttar Pradesh,Tier 1,TVS,2024,Second,Individual,Electric,Expired,"2,51,852.00 ",2024,52.46,718,64.99,0.09,0.81,"1,04,051.23 ",251852,Sport,147800.77
Maharashtra,Tier 1,Honda,2024,First,Individual,Electric,Expired,"2,51,747.00 ",2024,25.6,225,83.22,0.37,0.31,"1,39,296.59 ",251747,CBR 650R,112450.41
Delhi,Tier 1,Bajaj,2024,Second,Dealer,Electric,Not Available,"56,937.00 ",2024,77.67,194,82.7,0.43,0.94,"33,936.05 ",56937,Platina 110,23000.95
Gujarat,Tier 1,Honda,2024,Second,Dealer,Electric,Not Available,"1,69,350.00 ",2024,56.96,128,89.84,0.7,0.63,"1,30,929.77 ",169350,Activa,38420.23
